*************04:42:22*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:42:28*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:42:34*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:42:40*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:42:46*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:42:52*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:42:58*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:43:04*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:43:10*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:43:16*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


*************04:43:22*************{'dest': '131.4.0.0', 'dist': 5, 'mask': '255.255.0.0', 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 7, 'gateway': '131.4.1.2', 'itf': 'R3-eth1'}


